Countries fintechs,Country,Year,1A,1B,1C,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,5A,5B,5C,6A,,,,,,,,,,,
2,Egypt,2014,2.900221442,3.789367765,3.695216474,2.221140235,2.70261326,4.095046247,4.186191086,44.07,3.789367765,3.695216474,2.449599762,4.040907251,26.85055733,115.2938083,4.752556142,5.010122904,19.65724382,12.40699959,,,,,,,,,,,
28,India,2014,3.315575004,5.005959801,4.782261589,4.399475814,4.092692607,5.174796265,5.041993525,12.58006091,5.005959801,4.782261589,3.303194739,5.467200267,4.900063768,68.71850699,6.208781699,6.371328237,24.15715265,2.730000019,,,,,,,,,,,
10,Indonesia,2014,3.73293844,4.883894943,4.613198617,4.3279972,4.769399383,5.139768823,4.958809006,15.36,4.883894943,4.613198617,3.879565257,5.012530474,31.86268071,115.1957716,5.233028904,5.591489152,23.96949654,4.301000118,,,,,,,,,,,
5,"Korea, Rep.",2014,2.131957956,4.020509527,4.143501221,3.815704866,6.107141,5.934427152,4.493560374,84.1,4.020509527,4.143501221,2.213871084,4.210111591,106.0378824,110.3648374,5.396373335,6.250557759,56.83599112,3.700000048,,,,,,,,,,,
10,Mexico,2014,2.575992014,4.583254521,3.981304018,2.988050964,3.763353814,5.106569344,5.253376408,38.42,4.583254521,3.981304018,2.522597213,5.801937023,9.724259396,86.77462037,5.485576244,5.98508902,32.87118283,3.858999968,,,,,,,,,,,
3,Philippines,2014,3.058801356,5.071753985,5.003025485,4.275146869,4.154921612,5.309298358,4.916981753,36.2351,5.071753985,5.003025485,3.307206308,5.718973543,3.824965396,106.7673268,4.524315562,5.071819487,27.84417341,2.707999945,,,,,,,,,,,
1,Romania,2014,2.436916603,3.863113771,3.901882744,3.251247635,4.5038155,4.299717428,4.407502682,50,3.863113771,3.901882744,2.741278281,4.382720399,23.70541658,106.1366778,4.243088759,5.024499076,39.80310567,5.901000023,,,,,,,,,,,
5,South Africa,2014,3.294087986,5.023260874,5.512273373,2.133737535,3.104098552,5.579873658,4.950758555,41,6.417211383,5.512273373,3.634441275,6.598450064,26.01587303,134.7976985,4.781142058,5.226857218,26.56531293,26.5510006,,,,,,,,,,,
3,Turkey,2014,2.502920178,5.353882577,5.063077399,3.409905964,4.448490368,5.419176879,4.869985459,45.13,5.353882577,5.063077399,3.062666576,5.986319863,16.32277628,90.83567759,5.217781504,5.558172905,24.50038189,10.83899975,,,,,,,,,,,
3,Ukraine,2014,2.09627244,3.803899943,3.403100764,3.553402451,4.283764909,4.337563236,3.606365962,33.7,3.803899943,3.403100764,2.250318772,3.040372114,5.496184402,132.0501538,4.376017198,5.268985544,49.66748044,9.350000381,,,,,,,,,,,
332,United States,2014,4.340318711,6.092461643,5.585918595,4.625914729,5.948874206,6.426709083,4.87074308,81.0252,6.092461643,5.585918595,3.858780372,5.245726153,74.69047182,98.16610391,7,6.743439061,13.77821872,4.868999958,,,,,,,,,,,
1,Argentina,2013,1.822370432,3.436614973,3.092524162,3.364864946,3.705929784,4.338348162,3.59018027,47.704,3.436614973,3.092524162,1.686165162,4.54049327,11.71360585,134.9211144,4.872717787,5.141037953,22.01276016,8.347000122,,,,,,,,,,,
0,Bangladesh,2013,2.010329,3.952629581,3.658778016,3.245063419,2.646455745,4.419474503,3.966862506,5,3.952629581,3.658778016,2.399901448,4.642021452,0.19,56.48078539,4.319245437,4.486924401,19.32911141,4.372000217,,,,,,,,,,,
12,Brazil,2013,2.821424012,5.53710316,4.294618807,2.968219649,3.672140847,5.319828744,5.15782913,45,5.53710316,4.294618807,3.114132729,6.205173873,20.90686841,123.1758591,5.687965892,5.470929702,11.74126562,12.82699966,,,,,,,,,,,
23,Canada,2013,3.6262463,6.246074335,5.260438324,5.404355307,6.053108329,6.254519957,5.29015492,83,6.246074335,5.260438324,3.78457453,6.795567744,32.91454001,75.27990824,5.356914647,5.74900204,30.29821499,6.340000153,,,,,,,,,,,
1,Chile,2013,3.207263735,5.816137014,5.189394729,3.35903381,4.699903455,5.943542853,5.113883549,53.8938,5.816137014,5.189394729,3.74445588,6.352929986,17.1370029,129.7080782,4.274405408,4.932466757,37.51885762,6.958000183,,,,,,,,,,,
1,Colombia,2013,2.818330261,4.655111813,3.891182774,3.554312562,4.019944289,4.628721663,4.556607078,40.4,4.655111813,3.891182774,3.088770797,5.652708436,3.68217955,98.45142015,4.604605571,4.788666415,18.8615119,8.871999741,,,,,,,,,,,
2,Egypt,2013,3.002801868,4.207267414,4.089098856,2.26929232,3.022917089,4.20470707,4.606862416,35.62,4.207267414,4.089098856,2.625380044,4.279489465,21.02966835,101.0763385,4.727717078,4.912060339,20.95597184,11.77000046,,,,,,,,,,,
27,India,2013,3.397817076,5.039688481,4.873325719,4.375828735,4.045245351,5.345820557,4.898605011,10.07,5.039688481,4.873325719,3.327650254,5.683908832,1.852609662,71.99905491,6.191609876,6.382861207,26.54463623,2.556999922,,,,,,,,,,,
3,Indonesia,2013,3.563825174,4.818721379,4.362999449,4.131066338,4.474505924,4.932057993,4.755805964,18,4.818721379,4.362999449,3.914840508,4.60442013,22.19590607,97.71953762,5.184178349,5.525780223,26.18157454,4.184999943,,,,,,,,,,,
3,"Korea, Rep.",2013,2.1887874,4.196452867,4.585353267,4.141964067,6.192524467,6.103227733,4.5017274,83.8,4.196452867,4.585353267,2.2319444,4.609073267,105.0522528,108.504517,5.4002599,6.216489624,58.12213202,3.700000048,,,,,,,,,,,
3,Mexico,2013,2.622914218,4.740545498,4.145192037,3.224360591,3.838049588,5.26363913,5.299890453,36.15,4.740545498,4.145192037,2.632654879,5.766220661,4.609145403,82.37873746,5.475068063,5.881602434,31.56926813,3.420000076,,,,,,,,,,,
1,Philippines,2013,2.724463473,4.95083052,4.806221347,4.138817547,4.078376673,5.221640587,4.965324287,29,4.95083052,4.806221347,3.148134253,5.658566707,3.363133082,91.99208388,4.509317829,4.95404237,29.82125214,2.552000046,,,,,,,,,,,
0,Romania,2013,2.495482085,3.813839992,3.650456278,3.070869483,4.319231405,4.161121032,4.25812986,44.02,3.813839992,3.650456278,2.696636836,4.397501303,14.08812401,109.1596364,4.259260768,4.876962419,38.45570593,4.927000046,,,,,,,,,,,
4,South Africa,2013,3.054382285,5.271302662,5.155772188,2.227505732,3.118939985,5.677372168,4.981375844,21,6.425532344,5.155772188,3.501806474,6.660759279,19.81768601,126.8331905,4.760558989,5.117662477,27.3506983,27.32699966,,,,,,,,,,,
5,Turkey,2013,2.513356987,5.399855845,5.053744015,3.483058741,4.253636943,5.381303726,4.720767048,42.1,5.399855845,5.053744015,2.966575615,5.991260637,8.765394367,88.70464879,5.236016335,5.396770785,22.24616667,10.81900024,,,,,,,,,,,
6,Ukraine,2013,2.203550393,3.779540019,3.534875069,3.635439325,4.359858702,4.763994474,3.977978713,30.6,3.779540019,3.534875069,2.311704463,3.101192838,4.425740283,122.9622918,4.394373025,5.201542277,52.80005776,9.510000229,,,,,,,,,,,
237,United States,2013,4.104974063,5.964001501,5.345636126,4.661121375,5.747046993,6.303523027,4.899215156,77.863021,5.964001501,5.345636126,3.755148083,4.981459789,65.47734679,105.9136009,7,6.724061721,13.63869866,4.355000019,,,,,,,,,,,
1,Argentina,2012,1.909561421,3.566858211,3.324062105,3.365796632,3.257104316,4.758957947,3.936273158,36,3.566858211,3.324062105,1.806078316,4.585195737,31.96928926,141.7882482,4.799817476,5.124462369,21.94400896,9.482999802,,,,,,,,,,,
0,Bangladesh,2012,2.261171742,4.128859582,3.956987907,3.374761987,2.500814495,4.551053351,4.132303869,3.7,4.128859582,3.956987907,2.610102482,4.966519501,17.9452765,46.16922196,4.264735163,4.490727634,19.39974986,4.308000088,,,,,,,,,,,
10,Brazil,2012,2.801857278,5.619595309,4.450952993,3.005410336,3.769794503,5.390267436,5.082924636,40.65,5.619595309,4.450952993,3.092769584,6.181483985,33.58753805,104.1024405,5.666328608,5.454139864,11.10870429,12.54399967,,,,,,,,,,,
16,Canada,2012,3.646257476,6.312331002,5.319058452,5.422244335,6.058632474,6.33687912,5.192811045,81.6,6.312331002,5.319058452,3.688245085,6.817312893,49.42317264,70.66366699,5.338581424,5.73792875,28.80826904,5.920000076,,,,,,,,,,,
3,Chile,2012,3.1055696,5.865252306,5.366563581,3.356949445,4.810286181,5.970957913,5.184250325,45,5.865252306,5.366563581,3.591282283,6.512041472,38.70332144,116.0021265,4.157145542,4.917449856,39.00617911,7.22300005,,,,,,,,,,,
1,Colombia,2012,2.88268274,4.630634839,4.021310827,3.680464287,4.08770626,4.807618722,4.812826458,36.5,4.630634839,4.021310827,3.209014837,5.620493064,26.92600487,93.75846004,4.564025784,4.670301443,15.44262051,9.093000412,,,,,,,,,,,
0,Egypt,2012,2.971356465,4.400723113,4.022108547,2.317679825,3.256129042,4.302774914,4.691018945,26.74,4.400723113,4.022108547,2.693142015,4.64969025,31.86575081,87.10560512,4.692096781,4.99625697,22.97814687,11.43599987,,,,,,,,,,,
20,India,2012,3.369550417,5.085398978,4.914822765,4.375557488,4.003634079,5.48651602,4.98516034,7.5,5.085398978,4.914822765,3.357752938,5.760854507,39.57573914,61.4226033,6.140322684,6.233619978,21.17578373,2.551000118,,,,,,,,,,,
