Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
1,230,Argentina,2009,2.425062928,4.272851522,4.476557958,2.891741923,2.817020209,3.882144399,4.152070924,20.91172028,4.277962686,4.098671394,2.297070416,4.192634114,40.90700837,80.51860046,4.676357921,5.040768253,7.836999893
1,101,Brazil,2009,2.865376333,4.435501389,4.576897066,2.701404216,3.386191864,4.831951056,5.156098473,22.55366898,4.192939793,4.074635459,3.196004958,6.357851852,38.51921008,52.89979935,5.561175743,5.470870094,7.342999935
0,1000,Chile,2009,3.744064267,4.849324144,4.626864053,3.205539841,4.451865572,5.209185279,5.290996195,25.23819733,4.359831064,4.691466743,4.205929632,6.514449387,23.83131346,75.6179657,4.03998329,4.935735473,9.284999847
0,1000,Colombia,2009,2.954074367,5.319385895,4.725173549,3.696203109,3.205539635,3.695432625,4.625634017,14.48808765,4.638888847,4.115790865,3.447383685,5.476450933,11.04810393,64.31093597,4.380761837,4.650660004,11.27299976
0,152,Mexico,2009,2.532854563,4.125816841,3.672902049,2.809239338,3.248088609,3.965111305,4.975412018,18.98351669,4.784867191,4.302834617,2.756042318,5.802274724,27.23887339,52.63362503,5.370250052,5.811944116,3.874000072
0,1000,Bolivia,2009,2.362027174,3.350912931,3.777986401,2.554436095,1.902775856,2.690154304,3.634786539,6.200688362,3.298803942,3.864632126,2.246013533,5.175834394,-7.627567662,30.7483902,2.864241574,3.722737127,2.862999916
0,1000,Ecuador,2009,1.991402505,3.253736573,3.583056206,2.721118428,2.276003443,2.941571556,3.709839825,11.54367828,3.196117545,3.488165678,2.078499498,4.578801607,1.033347785,63.23349762,3.615406685,4.081147682,4.607999802
0,1000,Guyana,2009,2.333065165,3.912542551,4.240577489,3.189025718,2.250460372,3.757321254,4.166978329,23.2743721,3.875156384,4.340963603,2.589934765,5.876193351,1.058045909,37.45490646,1.399524394,2.578138828,11.39900017
0,1000,Paraguay,2009,2.099779594,3.430939362,4.123292286,2.153056638,1.537637173,3.055002148,3.819658595,4.126460075,3.32340116,4.027226149,2.583442003,5.235830685,0.8951095852,51.30843735,2.718868616,3.767480647,5.460000038
0,1000,Peru,2009,3.224925446,4.449298597,4.568139637,2.865025965,2.932368892,3.555729496,5.133569646,22.89490318,4.350138774,4.776056936,3.620859488,6.048717098,15.73613737,30.90930748,4.053541532,4.598588455,3.900000095
0,1000,Suriname,2009,2.549379796,4.118276486,4.075409167,3.341147559,3.46311452,4.371420528,4.25779644,33.62109834,4.067892767,4.068003353,2.736687772,5.187759864,21.62146151,95.28457207,3.703538996,4.392004579,8.720000267
0,1000,Uruguay,2009,2.443570893,3.946828617,3.99178578,3.751019416,3.415684623,4.319573125,5.089523381,24.38915825,3.932539212,4.005282934,2.43136747,5.027571287,5.091777024,66.82951355,2.886697414,3.486317416,7.739999771
0,1000,Venezuela,2009,2.670088178,4.12117942,4.0727591,3.220207057,2.980421243,3.922246603,4.031417377,14.51735687,3.956536041,4.011402314,2.965358442,5.030257064,15.8583416,69.03729248,4.352597003,4.893591287,8.050000191
