Countries_fintechs,CB_Ranking,Country,Year,oneA,oneB,oneC,twoA,twoB,twoC,twoD,twoE,threeA,threeB,threeC,threeD,fourA,fourB,fiveA,fiveB,sixA
0,1000,Suriname,2017,2.549379796,4.069070105,4.086986173,3.341147559,3.46311452,4.334294567,4.249245093,33.62109834,4.028352857,4.09863621,2.772562259,5.187759864,20.82007156,95.88901471,3.696042505,4.404808383,7.598999977
0,1000,Uruguay,2017,2.829459259,3.691534996,5.002875392,3.947927803,5.446788895,4.995177523,4.933911746,64.6,3.691534996,5.018967047,4.275862217,5.798427572,77.71047613,160.2096445,3.09856535,3.788486953,7.889999866
0,1000,Venezuela,2017,2.343340641,3.578998327,4.000005443,3.491267004,3.558220731,3.159806765,2.477433305,61.86924809,3.578998327,3.95596642,3.884057999,4.308224138,42.97443219,92.97221122,4.484778991,4.757510961,7.421999931
6,117,Argentina,2016,2.009052196,3.054536909,2.923875484,3.073639069,4.127524014,3.72836431,2.994854374,64.7,3.054536909,2.923875484,1.728854905,4.533789253,53.63235404,158.735762,4.962193157,5.107327801,7.268000126
37,237,Brazil,2016,2.510983548,5.22370364,4.985450284,2.442969032,3.62519391,4.469284327,4.594665515,57.6,5.22370364,4.985450284,2.668874993,5.768729904,78.13922848,138.9514906,5.839023014,5.609064196,6.670000076
2,41,Chile,2016,3.301209052,5.544986015,4.866945422,3.375640813,4.755929603,5.594440768,5.227738309,72.35,5.544986015,4.866945422,3.666035656,6.297118978,50.46690543,133.2556288,4.386738288,5.060326282,6.664999962
4,52,Colombia,2016,2.716589105,4.761795647,3.6071985,3.144919264,4.111290729,4.487097907,4.595816946,52.57,4.761795647,3.6071985,2.766149865,5.818670821,45.06123335,113.0820753,4.723845611,4.894021857,8.57199955
8,175,Mexico,2016,2.772947482,4.338182889,3.729689581,2.849211762,3.878442307,4.954325776,5.07676387,44.39,4.338182889,3.729689581,2.417474335,5.484383653,37.48665935,82.54324957,5.543236888,5.97082878,4.809000015
0,1000,Bolivia,2016,3.122354364,3.736793711,3.845037446,3.128379309,3.495095237,3.801212184,3.504417197,39.02,3.736793711,3.845037446,3.601798996,4.79807895,28.13402959,96.33724828,3.163527595,4.157891834,3.055999994
1,1000,Ecuador,2016,2.333333254,3.998274951,4.164930998,3.955273449,4.116071224,4.517241478,3.678260803,43,3.998274951,4.164930998,3.406203534,5.139130592,30.87164246,103.8991648,3.842235566,4.490766068,4.597000122
0,1000,Guyana,2016,3.262738919,4.074645942,4.120983877,4.159956529,4.109866451,4.464615765,4.006501854,37.35,4.074645942,4.120983877,3.32506602,4.774001698,0.2488561947,70.53891053,1.597455975,2.791243199,12.3380003
0,1000,Paraguay,2016,2.488257623,3.674101185,4.25116578,2.527424595,2.917228486,4.008251754,4.106433046,43,3.674101185,4.25116578,2.952642326,5.499682848,4.175145669,105.604533,3.10236961,3.992960953,5.255000114
4,95,Peru,2016,3.076404163,4.126655173,4.721451107,3.136036678,3.711571046,4.473190877,4.863246487,40.2,4.126655173,4.721451107,3.218750102,5.723407026,13.65006822,102.9158073,4.336166821,4.77133727,3.535000086
0,1000,Suriname,2016,2.549379796,4.055462638,4.090187662,3.341147559,3.46311452,4.324027802,4.246880314,33.62109834,4.017418543,4.10710738,2.782482942,5.187759864,20.59845624,96.05616648,3.693969436,4.40834913,7.289000034
2,25,Uruguay,2016,2.704821549,4.120030471,4.247182876,3.985368195,5.681225468,4.776237665,5.01263046,61.46,4.120030471,4.247182876,2.833768164,5.59995957,59.83893265,160.7951457,3.195189248,3.839414691,7.84100008
0,1000,Venezuela,2016,2.279122072,3.919036896,3.649086472,3.329287995,3.484104017,3.327735058,2.685042683,57,3.919036896,3.649086472,2.306251022,4.399961793,43.85329352,98.95200348,4.502211424,5.309419671,7.460000038
1,558,Argentina,2015,1.779793032,3.054536909,2.923875484,2.983357393,4.119794328,3.829136129,3.093156151,59.9,3.054536909,2.923875484,1.728854905,4.574790452,16.20209513,159.0254543,4.890595868,5.207110718,7.643000126
30,296,Brazil,2015,2.571748382,5.22370364,4.985450284,2.720419415,3.621748663,4.711750371,4.938651445,51.6,5.22370364,4.985450284,2.668874993,6.09283955,51.46066,135.3050481,5.682785835,5.592691869,8.437000275
3,77,Chile,2015,3.311446838,5.544986015,4.866945422,3.69163698,5.051790948,5.716814724,5.297937176,66.5,5.544986015,4.866945422,3.666035656,6.306848818,35.58745128,134.2782809,4.337051085,5.007424174,6.507999897
5,199,Colombia,2015,2.568209587,4.761795647,3.6071985,3.40590798,4.014355754,4.52517037,4.761543161,51.7,4.761795647,3.6071985,2.766149865,5.787238809,7.87238285,104.0845439,4.642974356,4.894094934,8.298999786
